Date,3-Month,5-Year,10-Year,30-Year
2014-05-15,0.017999999225139618,1.534999966621399,2.502000093460083,3.3369998931884766
2014-05-16,0.014999999664723873,1.5479999780654907,2.5179998874664307,3.3469998836517334
2014-05-19,0.017999999225139618,1.5390000343322754,2.5360000133514404,3.382999897003174
2014-05-20,0.02500000037252903,1.50600004196167,2.509000062942505,3.375
2014-05-21,0.02500000037252903,1.5210000276565552,2.5369999408721924,3.4179999828338623
2014-05-22,0.02800000086426735,1.5490000247955322,2.555000066757202,3.428999900817871
2014-05-23,0.02800000086426735,1.5290000438690186,2.5360000133514404,3.3980000019073486
2014-05-27,0.02800000086426735,1.5290000438690186,2.5179998874664307,3.367000102996826
2014-05-28,0.02800000086426735,1.4709999561309814,2.437999963760376,3.2880001068115234
2014-05-29,0.029999999329447746,1.5130000114440918,2.447000026702881,3.303999900817871
2014-05-30,0.029999999329447746,1.527999997138977,2.4570000171661377,3.313999891281128
2014-06-02,0.02500000037252903,1.5959999561309814,2.5339999198913574,3.377000093460083
2014-06-03,0.029999999329447746,1.6360000371932983,2.5929999351501465,3.434999942779541
2014-06-04,0.029999999329447746,1.6430000066757202,2.6059999465942383,3.444000005722046
2014-06-05,0.029999999329447746,1.625,2.5840001106262207,3.431999921798706
2014-06-06,0.02800000086426735,1.6510000228881836,2.5969998836517334,3.437000036239624
2014-06-09,0.029999999329447746,1.680999994277954,2.61299991607666,3.4509999752044678
2014-06-10,0.03500000014901161,1.7059999704360962,2.634999990463257,3.4660000801086426
2014-06-11,0.032999999821186066,1.6959999799728394,2.640000104904175,3.4690001010894775
2014-06-12,0.032999999821186066,1.659999966621399,2.5859999656677246,3.4100000858306885
2014-06-13,0.029999999329447746,1.6959999799728394,2.6040000915527344,3.4119999408721924
2014-06-16,0.02500000037252903,1.7000000476837158,2.5969998836517334,3.3970000743865967
2014-06-17,0.032999999821186066,1.753000020980835,2.6549999713897705,3.446000099182129
2014-06-18,0.017999999225139618,1.7120000123977661,2.61299991607666,3.4179999828338623
2014-06-19,0.009999999776482582,1.687000036239624,2.621999979019165,3.4590001106262207
2014-06-20,0.009999999776482582,1.7000000476837158,2.624000072479248,3.4519999027252197
2014-06-23,0.004999999888241291,1.7039999961853027,2.622999906539917,3.4489998817443848
2014-06-24,0.02199999988079071,1.6790000200271606,2.5859999656677246,3.4059998989105225
2014-06-25,0.019999999552965164,1.6519999504089355,2.559000015258789,3.38100004196167
2014-06-26,0.02500000037252903,1.6460000276565552,2.5250000953674316,3.3440001010894775
2014-06-27,0.017999999225139618,1.6380000114440918,2.5320000648498535,3.365000009536743
2014-06-30,0.019999999552965164,1.625,2.5160000324249268,3.3380000591278076
2014-07-01,0.02500000037252903,1.656000018119812,2.562999963760376,3.3949999809265137
2014-07-02,0.007000000216066837,1.7120000123977661,2.628000020980835,3.4660000801086426
2014-07-03,0.003000000026077032,1.7400000095367432,2.6480000019073486,3.4830000400543213
2014-07-07,0.007000000216066837,1.7339999675750732,2.617000102996826,3.440000057220459
2014-07-08,0.02500000037252903,1.6970000267028809,2.565000057220459,3.380000114440918
2014-07-09,0.014999999664723873,1.6740000247955322,2.546999931335449,3.359999895095825
2014-07-10,0.014999999664723873,1.6480000019073486,2.5320000648498535,3.364000082015991
